Chemical Shift (ppm),Intensity
66.6,1.24
66.7,1.26
67.0,-0.99
67.1,-0.54
67.2,-0.58
67.3,-0.76
67.7,-0.78
68.3,0.81
68.7,0.55
68.8,-0.62
69.3,0.7
69.6,1.03
69.7,0.78
69.9,1.42
70.3,0.81
70.4,0.86
70.5,0.67
70.7,0.72
70.9,0.88
71.3,1.1
71.5,-1.0
71.6,-1.12
71.7,0.81
71.9,-0.86
72.0,-0.51
72.2,1.37
72.5,-0.56
72.6,0.75
72.7,1.14
72.9,0.95
73.0,0.89
73.1,-0.69
73.2,0.75
73.7,0.57
73.9,0.56
74.3,0.98
74.5,0.52
74.7,0.95
75.3,0.63
75.5,1.13
75.8,1.3
75.9,-0.64
76.0,-1.63
76.2,0.61
76.4,-1.09
76.5,-0.76
76.7,1.41
76.8,-0.52
76.9,-0.82
77.0,-0.57
77.1,-1.27
77.5,0.54
77.6,0.55
77.8,0.88
78.0,1.09
78.3,1.1
78.6,-0.65
78.7,0.65
78.8,1.47
79.2,0.58
79.3,0.78
79.4,0.76
79.5,1.05
79.6,0.57
80.7,1.15
80.8,-0.67
81.0,0.64
81.9,0.66
82.0,-0.75
82.3,-1.94
82.6,-1.37
82.8,-1.08
82.9,1.24
83.0,0.52
83.3,1.11
83.6,-0.87
83.7,-1.11
84.0,-1.12
84.6,0.88
84.8,-0.52
84.9,0.61
85.1,0.72
85.2,0.74
85.3,0.61
85.6,-1.76
85.7,-1.07
86.0,0.61
86.8,0.56
86.9,0.67
87.1,0.6
87.2,-0.58
87.3,-0.57
87.6,0.62
88.0,0.52
88.3,-0.6
88.5,-1.26
88.6,-1.12
89.1,0.77
89.3,0.95
89.4,-0.72
90.2,0.63
90.6,-0.93
90.7,-0.83
91.0,0.73
91.1,1.51
91.3,0.6
91.9,0.85
92.1,-0.78
92.2,-1.23
92.3,-0.67
92.5,-0.83
92.9,-0.9
93.3,0.72
93.5,0.59
93.6,1.13
93.9,-0.77
94.2,-1.26
94.4,0.61
95.7,0.63
95.9,-0.61
96.0,1.5
96.1,0.97
96.6,0.84
96.8,0.86
96.9,-1.46
97.2,-0.69
97.6,-0.78
97.9,0.75
98.3,-0.73
98.4,-1.76
98.7,0.84
98.9,0.6
99.1,-1.3
99.5,-1.5
99.6,-0.75
99.7,-0.56
99.8,-0.93
99.9,-1.29
100.0,-0.79
100.1,1.28
100.3,-0.71
100.4,-0.75
100.7,-0.78
100.9,1.19
101.2,-0.68
101.5,-0.54
101.6,-1.13
101.7,-0.7
101.8,-0.87
102.0,-1.03
102.2,-0.93
102.3,-0.54
102.4,-0.93
102.5,-1.04
102.6,-0.92
102.8,-0.67
102.9,-1.31
103.0,-0.73
103.3,-0.55
103.4,-0.78
103.7,-0.87
103.8,-1.03
103.9,-0.88
104.2,-0.52
104.4,-1.6
104.5,-0.86
104.6,0.58
105.0,-0.64
105.1,-1.01
105.2,0.74
105.3,0.71
105.4,-1.73
105.5,-1.41
105.6,0.62
105.7,-0.72
106.4,-0.65
106.7,-0.86
106.8,-1.6
107.3,0.81
107.4,-0.85
107.5,0.71
107.7,0.59
108.3,-0.56
108.4,-0.73
108.9,-0.74
109.0,1.15
109.8,-0.82
110.4,-1.09
110.5,-0.56
110.8,-0.51
110.9,-1.4
111.3,0.52
111.5,-0.64
111.7,-0.52
112.0,-0.7
112.1,0.57
112.2,-0.71
112.5,0.67
112.6,-0.72
112.7,0.82
112.8,2.26
112.9,3.52
113.0,33.43
113.1,69.99
113.2,10.69
113.3,5.31
113.4,2.73
113.6,1.18
113.9,1.33
114.0,1.44
114.1,1.12
114.4,0.58
114.5,0.63
114.7,-0.63
114.8,-0.51
115.2,-0.8
115.3,0.98
115.6,1.31
115.9,1.14
116.3,-1.16
116.6,-1.26
116.7,-1.27
117.1,-2.02
117.3,-0.99
117.5,0.52
117.6,-1.33
118.0,0.55
118.2,-0.64
118.3,-0.58
118.4,-0.82
118.6,0.64
118.7,-0.99
118.9,0.78
119.2,2.43
119.3,2.4
119.4,12.68
119.5,100.0
119.6,7.05
119.7,3.93
119.8,1.02
120.0,0.54
120.1,0.8
120.3,0.74
120.4,1.47
120.8,-0.72
121.0,-0.52
121.8,-0.55
121.9,-0.58
122.2,-1.24
122.4,0.74
122.7,-0.91
122.8,-0.55
123.1,-0.93
123.2,-1.26
124.0,1.15
124.1,-0.55
124.5,-0.97
124.6,-1.44
124.7,-1.23
124.8,-1.39
125.2,-0.66
125.3,-1.23
125.4,-0.88
125.6,0.59
125.7,0.59
126.0,0.59
126.1,-1.09
126.4,0.65
126.5,1.42
126.7,0.6
126.9,-0.64
127.2,-0.7
127.3,-0.54
127.6,0.89
127.7,-0.72
127.9,0.58
128.1,38.53
128.2,4.89
128.3,1.9
128.5,0.53
129.1,1.0
129.2,0.66
129.3,0.66
129.6,-1.34
129.9,0.76
130.0,0.86
130.1,0.84
130.4,-0.81
130.6,-1.43
130.7,-0.89
130.8,-0.53
131.0,-0.66
131.1,0.55
131.2,-0.66
131.3,-1.09
131.7,1.73
131.8,0.59
132.0,1.67
132.1,2.4
132.2,21.31
132.3,79.4
132.4,13.76
132.5,6.58
132.6,2.54
132.7,1.84
132.8,1.11
132.9,0.92
133.0,1.1
133.1,1.14
133.3,0.86
133.5,1.03
133.6,-0.64
133.7,0.71
133.8,-0.89
134.3,-0.64
134.4,0.84
134.6,1.61
134.8,-1.06
135.0,0.51
135.4,-1.54
135.5,-0.62
136.2,0.52
136.3,-0.74
136.8,-0.74
136.9,-1.51
137.0,-1.11
137.2,-0.87
137.4,1.06
137.7,-1.23
137.8,0.69
138.0,-0.51
138.1,0.81
138.2,-1.53
138.3,-2.14
138.5,0.65
138.7,0.96
138.8,-0.52
138.9,-0.7
139.2,-1.43
139.5,0.88
139.7,-1.03
140.0,-1.1
140.5,0.92
140.6,-1.23
140.7,-1.03
140.9,-0.62
141.0,1.44
141.6,0.69
142.0,0.57
142.1,-2.2
142.2,0.51
142.3,-0.77
142.4,-1.37
142.8,-0.54
142.9,-1.25
143.2,1.56
143.5,0.73
143.6,0.64
143.8,0.55
144.0,0.51
144.3,-1.16
144.4,-0.75
144.5,0.85
144.8,0.79
144.9,-0.84
145.0,-1.2
145.1,-1.05
145.3,-0.54
145.9,0.8
146.1,0.73
146.4,0.65
146.5,1.29
146.7,-0.52
147.1,0.95
147.2,-0.93
147.3,-1.05
147.8,-1.01
147.9,0.61
148.3,1.09
149.2,0.83
149.3,0.96
149.4,-1.1
149.5,0.9
150.0,-0.64
150.1,1.09
150.2,-1.6
150.6,0.57
151.3,0.63
151.4,0.54
151.6,0.74
151.7,1.04
151.8,1.11
152.4,27.64
152.5,1.91
153.1,1.04
154.5,-0.87
154.9,-0.71
155.0,-1.09
155.1,-1.19
155.5,1.11
155.8,1.15
155.9,-0.79
156.0,-0.83
156.8,-1.19
157.0,0.59
157.2,-0.57
157.3,0.53
157.6,0.72
157.7,1.76
157.8,0.75
158.1,0.6
158.5,-1.13
158.8,-1.34
158.9,-0.89
159.0,-1.28
159.2,-0.59
159.4,-0.87
159.5,-0.55
159.6,-0.76
159.8,0.7
160.8,-0.59
160.9,0.8
161.5,-0.57
161.7,0.86
162.0,-0.56
162.2,-0.91
162.3,-0.67
162.5,0.53
162.6,1.18
162.7,6.26
162.8,23.4
163.2,0.97
163.4,-0.75
163.5,0.53
163.6,-0.69
163.7,0.83
163.8,0.59
164.0,-0.73
164.1,-0.6
164.3,0.56
165.1,0.75
165.5,-0.73
165.7,-1.22
166.3,1.1
166.5,0.63
166.9,0.79
167.1,0.79
167.3,-0.88
167.4,-0.64
167.5,-1.08
167.6,0.56
168.1,-0.51
168.5,-1.11
168.6,1.24
168.7,-0.62
168.9,-0.71
169.2,-0.93
169.4,-0.76
170.3,0.6
170.6,-1.3
170.9,0.79
171.1,1.0
171.2,0.61
171.8,-0.94
171.9,-1.11
172.1,0.76
172.5,0.82
172.7,-0.57
173.1,1.01
173.4,-0.92
173.6,0.56
173.9,0.76
174.1,1.28
174.4,0.56
174.5,0.7
174.7,-0.65
175.0,-1.45
175.6,-0.65
175.8,-1.03
175.9,0.66
176.5,1.21
176.6,0.56
176.7,0.54
176.8,0.74
177.2,-0.55
177.3,1.13
177.9,-1.15
178.1,1.11
178.3,-0.89
178.9,-0.64
179.1,-0.69
179.2,-0.97
179.3,-1.88
179.5,0.73
179.6,0.81
179.8,-0.76
179.9,-0.86
180.0,-0.72
180.1,-0.74
180.6,0.85
180.7,0.63
180.8,1.63
180.9,1.37
181.1,1.14
181.3,0.57
181.5,0.99
181.8,-1.51
181.9,-0.91
182.0,-1.03
182.2,0.52
182.3,0.58
182.5,-0.79
183.0,0.64
183.1,-1.22
183.3,-1.08
183.4,-0.66
183.5,0.69
183.8,0.64
183.9,-0.64
184.0,-0.61
184.1,-0.83
184.4,-0.78
184.5,0.7
184.6,-0.69
184.9,1.01
185.4,-0.6
185.6,-1.13
185.7,-0.53
185.8,0.93
185.9,-0.85
186.5,0.51
186.8,0.68
186.9,1.81
187.0,-1.09
187.2,1.46
187.8,0.94
188.0,1.29
188.2,-1.57
188.4,0.92
188.5,0.99
188.6,1.16
188.8,-0.65
188.9,1.01
189.2,-1.26
189.4,0.56
190.1,0.75
190.2,1.48
190.5,0.67
190.6,0.72
191.0,-1.06
191.2,-0.82
191.6,-0.61
192.0,1.0
192.2,-0.8
192.5,0.58
192.6,-0.62
192.8,0.76
192.9,-0.79
193.0,-1.05
193.2,-0.66
193.6,0.79
193.7,0.81
193.9,0.53
194.2,0.97
194.7,-0.7
194.9,0.57
195.0,-0.56
195.1,-1.2
195.2,-1.31
195.5,1.15
195.7,-1.66
195.8,-0.86
195.9,-1.13
196.1,1.17
196.3,26.56
196.4,90.75
196.5,5.47
196.6,3.33
196.7,2.78
196.8,2.37
196.9,2.16
197.0,0.81
197.1,1.41
197.2,0.94
197.3,0.89
197.4,0.61
197.7,1.35
197.8,0.6
198.0,-0.54
198.3,-0.97
198.7,0.96
198.8,1.29
198.9,0.62
199.0,0.87
199.1,0.52
199.2,0.98
199.4,1.5
199.7,0.6
199.9,0.76
200.1,-0.65
200.5,-0.6
200.6,-0.88
200.9,-0.66
201.0,-1.08
201.2,-0.56
201.3,-0.56
201.4,-0.83
201.5,-1.06
201.7,0.81
201.8,-0.68
202.2,-0.96
202.6,0.54
203.0,0.51
203.2,-1.63
203.3,1.23
203.5,-0.55
203.6,-0.78
203.7,-1.88
203.9,-0.62
204.6,0.75
205.0,-0.54
205.2,0.54
205.3,-1.05
205.4,-0.96
205.6,-0.76
205.7,-0.57
206.2,1.12
206.6,-0.71
207.0,1.12
207.2,-0.52
207.3,-0.89
207.4,-0.96
207.5,-1.46
207.7,0.6
207.8,-1.0
207.9,-0.96
208.1,0.7
208.4,1.14
208.5,1.57
208.7,-0.54
208.9,-1.33
209.0,0.91
209.1,0.68
209.2,-0.8
209.5,1.3
209.6,1.01
209.7,-0.79
210.0,1.45
210.1,0.66
210.8,0.53
211.2,1.55
211.3,0.74
211.4,1.18
211.5,0.82
211.6,-0.56
211.9,-0.65
212.4,0.71
212.7,-0.78
212.9,-0.55
213.1,0.64
213.4,-0.51
213.8,-1.22
213.9,-1.23
214.2,-0.6
214.3,0.89
214.5,-0.87
214.6,-0.79
215.4,-0.8
215.5,0.72
215.7,-0.83
215.8,-1.03
215.9,0.57
216.3,0.59
216.4,-1.53
216.5,-1.76
216.7,-0.62
216.8,-0.64
217.0,1.07
217.5,-0.59
217.6,0.64
217.9,-0.68
218.0,-1.13
218.1,-0.71
218.4,-0.64
218.5,0.93
218.6,-1.03
218.8,-0.67
219.0,-1.74
219.1,-1.28
219.2,-0.93
219.9,-0.67
220.0,-0.9
220.2,-0.52
220.4,-1.4
220.5,-0.8
