Wavenumber (cm-1),Transmittance (%)
4933.399112,51.32
4852.811792,51.88
4775.549188,52.28
4699.996851,52.6
4627.487274,52.76
4556.512373,53.34
4486.316734,53.8
4419.575005,54.02
4355.400697,54.64
4292.47002,55.18
4231.908591,55.8
4172.471618,56.1
4113.533525,56.38
4057.353121,56.96
4003.202562,57.06
3949.975925,57.34
3898.635478,57.68
3848.135636,58.16
3797.949107,58.28
3750.007969,58.84
3703.703704,59
3658.09806,58.22
3614.022407,55.48
3570.585658,47.04
3528.58151,36.74
3487.162534,29.26
3445.89938,24.14
3406.387863,20.7
3368.13742,19.82
3330.379287,21.4
3293.807642,23.36
3257.688715,24.28
3221.649485,24.9
3187.087451,25.72
3153.579313,26.98
3120.454862,29.86
3088.326127,32.72
3056.551397,35.66
3025.718608,39.56
2995.212751,41.64
2964.719834,42.82
2935.425626,40.48
2906.976744,41.3
2878.807114,47.46
2851.439977,48.3
2824.331389,45.22
2797.202797,49.58
2771.110947,54.1
2745.744097,55.36
2720.599098,54.84
2696.144513,57.2
2671.895745,60.26
2648.305085,61.2
2624.905471,61.8
2601.456816,62.68
2578.874223,62.82
2556.890821,62.98
2535.072089,63.1
2513.826043,63.56
2492.73306,64.34
2471.576866,65.04
2451.184057,65.48
2431.315342,66.14
2411.578858,66.64
2392.344498,66.88
2373.233158,67.72
2354.603249,68.9
2336.087814,67.64
2317.497103,66.88
2299.558416,66.44
2282.062985,67.46
2264.666604,68.72
2247.696111,69
2230.817811,69
2213.858756,69.2
2197.482959,69.22
2181.500873,69.26
2165.598557,69.34
2150.075253,69.62
2134.626177,69.34
2119.542179,69.26
2104.527238,68.8
2089.427497,68.8
2074.834724,68.68
2060.581084,68.88
2046.387093,68.8
2032.520325,69
2018.708991,69.08
2004.811548,69.42
1991.372974,69.3
1978.239367,69.24
1965.153505,69.8
1952.362358,70.22
1939.615502,70.38
1927.153594,70.62
1914.732739,70.7
1902.225604,70.74
1890.122992,70.2
1878.287002,70.28
1866.48614,70.62
1854.943424,71.14
1843.433166,71.52
1831.837333,72.04
1820.611176,71.78
1809.627217,71.58
1798.670818,71.28
1787.949222,70.8
1777.252975,70.46
1766.784452,69.3
1756.339199,69.04
1745.810056,67.36
1735.610616,64.28
1725.625539,61.42
1715.659909,51.78
1705.902422,35.12
1696.162652,14.56
1686.340641,9.86
1676.822341,7.54
1667.500417,12.56
1658.193024,27.68
1649.076517,41.44
1639.973098,47.02
1631.055293,48.24
1622.149215,45.58
1613.163413,25.98
1604.451133,9.36
1595.914459,3.4
1587.387004,8.44
1579.030475,29.06
1570.682026,47.7
1562.255898,56.16
1554.083424,58.92
1546.072975,58.3
1538.068503,50.8
1530.221882,35.22
1522.380284,13.18
1514.692517,8.32
1507.008872,31.26
1499.250375,49.86
1491.72221,56.34
1484.340211,54.44
1476.960669,38.62
1469.723692,24.08
1462.488415,26.46
1455.180442,30.16
1448.087301,37.12
1441.129846,26.28
1434.172692,21.14
1427.347987,34.18
1420.522948,41.76
1413.82723,41.2
1407.130578,35.4
1400.364095,33.12
1393.794076,35.32
1387.347392,34.92
1380.898664,35.1
1374.570447,38.16
1368.239682,45.62
1361.841209,53.66
1355.626889,57.58
1349.527665,60.26
1343.424963,61.46
1337.4348,60.9
1331.440735,58.48
1325.381047,53.82
1319.494301,46.3
1313.715187,32.44
1307.931387,17.28
1302.252898,7.88
1296.569368,3.34
1290.988897,3.34
1285.403053,5.42
1279.754287,9.82
