Chemical Shift (ppm),Intensity
-13.87,-0.11
-3.86,0.11
-0.01,0.62
-0.0,3.85
0.01,-0.17
8.25,0.15
8.26,0.12
12.84,0.11
16.59,0.11
17.53,0.13
17.54,0.18
17.62,0.14
17.63,0.13
17.64,0.26
17.65,0.35
17.66,0.28
17.67,0.23
17.68,0.47
17.69,0.85
17.7,4.91
17.71,29.02
17.72,-1.14
17.73,-0.48
17.74,-0.32
17.75,-0.32
17.76,-0.21
17.77,-0.19
17.78,-0.15
17.79,-0.15
17.8,-0.11
17.81,-0.16
17.95,-0.12
17.97,-0.12
18.76,0.11
19.98,0.11
22.6,0.18
22.61,0.41
22.64,0.18
22.74,0.13
22.76,0.18
22.77,0.75
22.78,9.92
22.79,30.29
22.8,0.86
22.81,0.22
22.92,0.13
25.55,0.14
25.7,0.35
25.71,0.65
25.72,18.18
25.73,15.59
25.74,0.74
25.89,0.13
26.26,0.28
27.72,0.15
27.73,0.19
27.85,0.21
27.87,0.32
27.88,2.33
27.89,22.04
27.9,1.29
27.91,0.41
27.92,0.26
27.93,0.16
28.04,0.22
28.45,0.14
34.28,0.44
41.02,0.17
41.03,0.15
41.84,0.21
41.96,0.17
41.97,0.28
41.98,0.31
41.99,1.27
42.0,26.87
42.01,9.27
42.02,0.32
42.03,0.2
42.14,0.23
51.01,-0.11
54.9,-0.13
57.4,0.11
67.85,-0.11
67.98,0.21
72.98,0.11
73.34,0.16
73.35,0.16
73.48,0.16
73.49,0.39
73.5,8.28
73.51,9.69
73.52,-0.13
73.53,-0.13
73.54,-0.14
73.55,-0.11
76.51,0.11
76.52,0.11
76.55,0.12
76.58,0.12
76.59,0.16
76.61,0.16
76.62,0.2
76.63,0.24
76.64,0.24
76.65,0.3
76.66,0.31
76.67,0.34
76.68,0.44
76.69,0.64
76.7,0.8
76.71,0.93
76.72,1.46
76.73,2.4
76.74,3.73
76.75,10.88
76.76,45.27
76.77,90.46
76.78,25.61
76.79,9.5
76.8,3.96
76.81,2.1
76.82,1.35
76.83,0.96
76.84,0.78
76.85,0.66
76.86,0.55
76.87,0.49
76.88,0.46
76.89,0.44
76.9,0.46
76.91,0.4
76.92,0.47
76.93,0.57
76.94,0.64
76.95,0.82
76.96,0.89
76.97,1.23
76.98,1.92
76.99,3.35
77.0,5.76
77.01,24.75
77.02,91.88
77.03,63.03
77.04,10.47
77.05,5.18
77.06,2.65
77.07,1.51
77.08,1.04
77.09,0.76
77.1,0.66
77.11,0.55
77.12,0.46
77.13,0.49
77.14,0.44
77.15,0.41
77.16,0.45
77.17,0.49
77.18,0.53
77.19,0.61
77.2,0.81
77.21,1.35
77.22,3.18
77.23,3.83
77.24,3.18
77.25,5.45
77.26,10.98
77.27,55.6
77.28,100.0
77.29,26.64
77.3,5.86
77.31,3.38
77.32,1.88
77.33,1.16
77.34,0.82
77.35,0.59
77.36,0.47
77.37,0.38
77.38,0.4
77.39,0.29
77.4,0.21
77.41,0.16
77.42,0.15
77.43,0.13
77.44,0.14
77.45,0.12
77.46,0.13
100.47,0.11
105.62,-0.11
108.63,0.11
111.39,0.16
111.65,0.14
111.67,0.13
111.68,0.31
111.69,6.58
111.7,33.77
111.71,0.87
111.95,0.14
114.56,0.12
114.7,-0.12
124.25,-0.11
124.26,-0.14
124.27,0.27
124.28,26.72
124.29,12.64
124.3,1.0
124.31,0.36
124.32,0.29
124.33,0.17
124.34,0.22
124.35,0.12
124.36,0.11
124.37,0.13
124.38,0.12
124.45,0.14
124.49,0.38
131.83,0.11
131.99,0.29
132.0,2.84
132.01,7.72
132.17,0.15
133.19,0.13
144.69,0.11
144.98,0.19
144.99,11.32
145.0,27.31
145.01,0.71
145.02,0.21
145.03,0.16
145.04,0.12
152.27,-0.11
165.77,0.11
173.19,0.12
191.12,-0.12
193.77,0.11
