Chemical Shift (ppm),Intensity
13.71,0.28
13.75,-0.26
13.84,0.29
13.86,-0.35
13.87,-0.37
13.94,-0.28
14.18,0.24
14.22,-0.26
14.42,-0.21
14.43,-0.3
14.44,-0.24
14.58,-0.23
14.81,-0.32
14.93,-0.22
14.98,-0.27
15.08,0.25
15.11,0.28
15.12,0.29
15.19,-0.3
15.29,-0.21
15.68,0.24
15.74,0.35
16.2,0.29
16.21,0.23
16.34,0.21
16.41,-0.25
16.46,0.27
16.93,-0.22
17.03,-0.23
17.41,0.22
17.51,-0.21
18.18,-0.22
18.25,-0.22
18.52,0.24
18.74,-0.21
18.8,-0.22
19.08,-0.4
19.7,-0.31
19.86,-0.22
20.09,-0.23
20.18,-0.25
20.33,-0.21
20.35,0.27
20.63,0.21
20.85,-0.22
21.09,-0.25
21.13,-0.26
21.38,-0.31
21.94,-0.21
22.26,-0.21
22.28,0.24
22.31,-0.23
22.34,-0.24
22.35,-0.31
22.46,-0.21
22.53,-0.23
22.7,0.26
23.01,-0.31
23.1,-0.29
23.11,-0.27
23.15,-0.21
23.42,-0.23
23.43,-0.41
23.73,-0.22
23.84,0.21
24.38,-0.23
24.66,-0.25
24.75,0.24
24.87,0.22
25.2,-0.25
25.23,0.23
25.4,0.21
25.41,0.29
25.47,0.22
25.48,0.28
25.56,0.29
25.84,-0.28
26.01,0.22
26.06,-0.25
26.16,-0.26
26.48,0.22
26.52,-0.27
26.81,0.27
26.87,-0.22
27.12,-0.33
27.13,-0.32
27.14,-0.21
27.17,-0.22
27.26,0.29
27.31,-0.23
27.39,-0.26
27.42,-0.27
27.43,-0.34
27.44,-0.24
27.47,0.21
28.37,-0.22
28.55,-0.22
28.56,-0.21
28.92,-0.3
28.97,-0.24
29.06,0.25
29.1,-0.24
29.11,-0.3
29.36,-0.22
29.52,0.26
29.53,0.23
29.85,0.21
29.86,0.26
30.04,-0.21
30.05,-0.27
30.08,-0.21
30.09,-0.28
30.2,0.25
30.26,-0.26
30.47,-0.21
30.56,-0.23
30.57,-0.27
30.83,-0.21
30.9,-0.32
30.91,-0.21
31.33,0.24
31.59,-0.25
31.87,-0.28
31.88,-0.33
32.16,-0.21
33.2,-0.27
33.3,-0.22
33.36,-0.31
33.61,-0.22
33.62,-0.3
33.71,0.25
34.05,0.24
35.13,0.25
35.17,0.24
35.3,-0.25
35.38,-0.21
35.54,-0.27
35.85,0.22
35.86,0.24
36.14,-0.28
36.42,-0.21
36.72,-0.21
36.92,-0.31
37.17,-0.29
37.19,-0.21
37.35,-0.24
37.46,0.21
37.52,-0.24
37.71,-0.26
37.83,-0.29
37.85,-0.26
37.89,-0.3
37.9,-0.23
37.92,-0.23
38.0,-0.21
38.05,-0.23
38.12,0.23
38.36,-0.29
38.67,-0.34
39.01,0.28
39.02,0.27
39.09,-0.27
39.19,0.32
39.5,-0.22
39.62,-0.21
39.7,-0.21
39.87,0.31
40.04,-0.26
40.13,-0.34
40.46,-0.25
40.47,-0.21
40.5,-0.35
40.51,-0.28
40.7,-0.32
40.78,-0.25
40.8,-0.3
40.82,-0.24
40.88,-0.28
40.89,-0.28
41.11,-0.26
41.13,-0.22
41.17,0.23
41.59,0.21
41.72,-0.21
41.73,-0.25
41.98,-0.27
42.17,-0.22
42.18,-0.29
42.27,0.29
42.91,0.22
43.2,0.33
43.21,0.24
43.54,-0.23
43.64,-0.22
43.65,-0.31
43.9,-0.24
44.05,-0.24
44.13,0.21
44.14,0.22
44.29,0.24
44.35,-0.21
44.56,-0.26
44.94,-0.28
44.95,-0.25
45.05,-0.23
45.06,-0.31
45.07,-0.32
45.16,-0.22
45.17,-0.22
45.67,0.31
45.68,0.21
45.84,-0.21
45.95,-0.22
45.96,-0.22
46.1,-0.26
46.17,-0.22
46.21,-0.24
46.22,-0.26
46.24,-0.23
46.25,-0.23
46.26,-0.22
46.41,-0.22
46.55,-0.28
46.7,0.29
47.27,-0.3
47.33,0.23
47.41,0.24
47.74,-0.36
47.92,0.21
48.44,-0.24
48.6,0.22
48.63,-0.22
48.65,-0.24
48.73,-0.25
48.75,-0.26
48.81,-0.22
48.86,0.23
49.01,-0.22
49.69,-0.27
50.55,0.33
50.64,-0.21
50.7,-0.28
50.92,-0.21
51.06,-0.22
51.07,-0.3
51.1,-0.26
51.18,-0.32
51.19,-0.38
51.2,-0.37
51.22,-0.36
51.23,-0.33
51.37,-0.21
51.78,0.24
52.25,-0.21
52.32,-0.21
52.53,0.23
52.63,0.22
52.74,-0.27
53.02,-0.25
53.27,-0.21
53.29,-0.22
53.33,-0.33
53.34,-0.32
53.35,-0.26
53.43,-0.21
53.52,0.22
53.53,-0.22
54.26,0.23
54.4,-0.21
54.51,0.24
54.54,-0.3
54.66,-0.21
54.95,0.23
55.49,-0.21
55.52,-0.21
55.59,-0.25
56.05,0.29
56.3,-0.25
56.52,-0.23
56.53,-0.29
56.54,-0.31
56.55,-0.24
56.62,-0.3
56.83,-0.27
57.06,-0.28
57.14,-0.32
57.23,-0.22
57.27,-0.26
57.28,-0.24
57.44,-0.23
57.45,-0.21
57.48,-0.23
57.78,-0.21
58.08,0.25
58.16,-0.24
58.34,0.25
58.37,-0.23
58.67,-0.24
58.69,-0.22
58.94,0.27
59.43,-0.22
60.39,-0.22
60.42,-0.23
60.52,0.22
60.8,-0.23
60.81,-0.21
60.97,-0.23
61.05,0.22
61.06,0.29
61.12,-0.31
61.34,-0.23
61.39,0.26
61.54,-0.21
61.57,-0.26
61.6,-0.25
61.61,-0.27
61.66,-0.21
61.75,-0.25
62.05,-0.26
62.06,-0.25
62.61,-0.28
62.62,-0.32
62.85,-0.22
63.18,-0.24
63.19,-0.22
63.2,-0.23
63.41,-0.22
63.42,-0.22
63.54,0.23
63.59,-0.25
63.6,-0.22
63.76,-0.21
63.86,0.25
64.28,-0.3
64.54,-0.25
64.6,0.22
64.88,-0.26
65.01,-0.27
65.33,-0.25
65.36,-0.25
65.37,-0.31
65.38,-0.29
65.39,-0.26
65.4,-0.28
65.41,-0.29
65.42,-0.21
65.51,-0.27
65.52,-0.39
65.61,-0.25
65.91,-0.22
65.97,-0.21
65.98,-0.28
66.15,-0.23
66.16,-0.24
66.52,-0.29
66.63,-0.26
66.69,-0.21
66.8,-0.21
66.88,-0.22
66.97,-0.22
67.17,-0.23
67.18,-0.26
67.25,-0.25
67.31,0.26
67.33,-0.22
67.4,-0.27
67.41,-0.24
67.54,0.25
67.86,-0.22
67.99,-0.21
68.13,-0.28
68.14,-0.22
68.2,-0.27
68.21,-0.24
68.22,-0.31
68.27,0.27
68.34,-0.25
68.37,-0.27
68.42,-0.35
68.48,-0.25
68.69,-0.24
69.0,-0.28
69.28,-0.32
69.31,-0.24
69.32,-0.24
69.59,0.21
69.6,0.26
69.87,-0.21
70.2,-0.23
70.24,-0.25
70.27,-0.22
70.28,-0.23
70.53,-0.31
70.54,-0.31
70.59,-0.25
70.6,-0.24
70.94,0.25
70.95,0.21
71.24,-0.23
71.49,-0.25
71.5,-0.25
71.6,0.23
71.66,-0.26
71.82,-0.21
71.83,-0.26
71.84,-0.26
71.92,0.22
72.08,-0.21
72.54,-0.23
72.69,-0.27
73.01,0.23
73.48,-0.3
73.91,-0.21
74.0,-0.31
74.16,-0.3
74.23,0.29
74.28,-0.21
74.42,0.22
74.73,-0.22
74.76,-0.24
74.8,-0.23
74.81,-0.27
74.88,-0.25
74.96,-0.35
74.99,0.25
75.4,0.21
75.55,0.38
75.65,0.3
75.99,-0.24
76.05,-0.27
76.47,0.22
76.62,-0.26
76.63,-0.23
76.87,-0.24
77.09,-0.25
77.26,-0.21
77.28,-0.35
77.29,-0.34
77.44,0.22
77.56,-0.25
77.87,-0.23
78.25,-0.27
78.26,-0.23
78.27,-0.23
78.43,-0.23
78.9,-0.22
79.08,-0.21
79.21,-0.28
79.62,-0.29
79.63,-0.35
80.05,-0.34
80.06,-0.22
80.44,-0.25
80.65,0.22
80.81,-0.21
80.82,-0.25
80.99,-0.22
81.01,-0.21
81.02,-0.21
81.03,-0.29
81.04,-0.21
81.14,-0.29
81.27,-0.21
81.4,-0.23
81.74,-0.24
81.94,0.34
81.95,0.3
81.99,-0.22
82.0,-0.22
82.1,-0.21
82.28,0.26
82.4,-0.24
82.41,-0.23
82.67,0.21
82.78,0.21
83.01,0.25
83.03,-0.28
83.58,-0.24
83.76,-0.25
83.86,-0.21
84.21,-0.29
84.47,-0.25
84.53,-0.22
84.54,-0.22
84.97,-0.22
85.17,-0.23
85.28,-0.27
85.86,0.22
86.03,-0.24
86.34,-0.22
86.47,-0.24
86.72,-0.27
86.91,0.21
86.92,0.23
87.13,-0.36
87.18,-0.21
87.19,-0.32
87.28,-0.21
87.91,-0.25
87.95,-0.29
87.96,-0.35
87.99,-0.29
88.17,-0.21
88.59,0.23
88.85,-0.37
88.95,-0.25
88.96,-0.35
89.11,-0.24
89.22,-0.21
89.35,-0.25
89.5,0.23
89.96,0.21
90.07,-0.25
90.09,-0.28
90.38,-0.23
90.43,-0.23
90.73,-0.28
90.78,0.26
90.83,-0.24
90.84,-0.29
90.93,-0.25
90.97,-0.26
90.99,-0.23
91.48,0.26
91.55,-0.3
91.65,0.28
91.66,0.21
91.67,0.29
91.96,-0.23
92.15,-0.26
92.64,-0.29
92.68,-0.25
93.18,-0.23
93.56,0.22
93.64,0.29
93.65,0.28
93.85,-0.38
94.14,-0.34
94.15,-0.23
94.4,0.24
94.57,-0.26
94.74,-0.21
94.84,-0.3
94.85,-0.32
94.97,0.27
95.21,-0.28
95.25,-0.28
95.41,0.21
95.79,0.21
95.8,0.36
96.18,-0.25
96.9,0.23
96.94,0.21
96.95,0.26
96.96,0.21
97.0,-0.22
97.02,-0.21
97.08,-0.28
97.31,0.24
97.42,-0.21
97.44,-0.22
97.46,0.21
97.49,-0.21
97.66,-0.29
97.73,0.21
97.82,-0.26
97.92,-0.21
97.93,-0.27
97.94,-0.24
97.95,-0.29
98.83,-0.27
98.86,-0.33
98.87,-0.44
98.88,-0.45
98.89,-0.31
99.18,0.21
99.29,-0.28
99.33,0.21
99.53,-0.23
99.56,0.21
99.57,0.22
99.59,0.25
99.92,-0.38
100.22,-0.27
100.28,-0.22
100.34,-0.25
100.56,-0.26
100.63,-0.24
100.64,-0.25
100.81,-0.21
100.92,0.23
101.0,-0.23
101.11,-0.23
101.65,0.23
101.86,0.22
102.01,-0.22
102.08,-0.22
102.28,-0.24
102.4,-0.27
102.45,-0.21
102.49,-0.29
102.6,-0.23
102.71,-0.21
103.7,-0.24
103.9,-0.26
103.91,-0.32
103.96,-0.3
103.97,-0.21
104.02,-0.29
104.03,-0.23
104.53,-0.24
104.8,0.25
105.13,-0.28
105.14,-0.28
105.4,0.21
105.57,-0.25
105.7,-0.22
105.77,0.23
105.78,0.24
105.79,0.25
105.8,0.37
105.99,-0.23
106.02,-0.27
106.07,0.21
106.12,-0.25
106.42,-0.21
107.19,0.21
107.45,0.28
107.56,-0.26
107.59,0.22
107.62,-0.22
107.88,-0.23
107.89,-0.21
107.96,-0.22
108.59,-0.22
108.73,0.22
109.13,-0.22
109.14,-0.22
109.24,-0.24
109.25,-0.28
109.36,-0.33
109.61,-0.27
109.75,0.24
110.0,0.21
110.01,0.26
110.21,0.21
110.54,0.26
110.61,0.21
110.69,-0.24
110.75,-0.25
110.76,-0.25
111.24,0.24
111.39,0.27
111.44,-0.22
111.45,-0.24
111.76,0.26
111.84,0.22
112.07,-0.23
112.17,0.21
112.38,-0.32
112.39,-0.21
112.51,-0.21
112.68,-0.26
113.01,0.22
113.12,-0.27
113.25,-0.27
113.26,-0.22
113.37,0.22
113.39,0.23
113.57,0.24
113.73,-0.24
113.87,-0.21
114.04,-0.27
114.62,-0.21
114.8,0.3
115.46,-0.25
115.84,-0.22
115.89,-0.27
115.91,-0.21
116.26,0.26
116.68,0.27
116.96,0.21
116.97,0.27
116.98,0.21
117.22,-0.28
117.43,-0.21
117.51,0.32
117.58,0.26
117.59,0.88
117.6,0.7
117.72,0.22
117.74,0.27
117.75,0.53
117.76,0.44
117.77,0.55
117.78,0.68
117.79,0.99
117.8,1.18
117.81,1.72
117.82,3.01
117.83,4.94
117.84,14.19
117.85,68.18
117.86,53.9
117.87,9.34
117.88,5.12
117.89,2.32
117.9,1.17
117.91,0.79
117.92,0.51
117.93,0.46
117.94,0.29
118.04,-0.23
118.07,0.54
118.09,0.26
118.1,0.27
118.13,-0.32
118.25,0.25
118.26,0.34
118.27,0.22
118.53,0.26
118.55,-0.32
118.87,0.24
119.63,-0.21
119.67,-0.23
120.13,-0.26
120.25,-0.21
120.54,-0.23
120.8,-0.21
121.08,0.23
121.11,-0.25
121.13,-0.26
121.43,0.27
121.55,-0.27
122.18,0.21
122.41,-0.32
122.42,-0.28
122.64,-0.26
122.8,-0.44
122.84,0.23
122.87,-0.21
123.04,-0.27
123.12,0.21
123.21,0.24
123.43,-0.21
123.61,-0.21
123.64,-0.25
123.65,-0.24
124.04,0.21
124.14,-0.23
124.29,-0.25
124.41,0.24
124.62,-0.28
124.7,0.24
124.89,0.3
125.47,0.21
125.66,0.21
125.67,0.41
125.88,0.31
126.34,0.22
126.35,0.22
126.44,-0.24
126.45,-0.25
126.79,-0.21
127.41,0.3
127.57,-0.22
127.72,-0.37
127.73,-0.25
127.75,-0.22
127.86,0.21
128.12,-0.22
128.29,-0.25
128.69,0.21
128.7,0.29
128.82,0.21
128.83,0.22
128.88,0.28
128.91,0.26
128.92,0.53
128.93,0.64
128.94,1.55
128.95,6.02
128.96,16.18
128.97,2.46
128.98,1.14
128.99,0.64
129.0,0.27
129.01,0.24
129.03,0.29
129.16,0.21
129.66,-0.21
129.84,0.3
129.85,0.38
129.89,0.23
129.96,0.23
130.09,-0.22
130.48,0.21
130.56,-0.24
130.59,0.23
130.6,0.21
130.97,-0.24
130.98,-0.23
131.02,-0.24
131.03,-0.36
131.04,-0.34
131.05,-0.29
131.63,-0.21
131.66,0.21
131.96,0.22
131.97,0.23
132.32,0.21
132.33,0.22
132.96,-0.21
132.97,-0.22
133.11,-0.23
133.29,-0.21
133.37,0.53
133.38,0.48
133.5,0.22
133.53,0.39
133.54,0.46
133.55,0.93
133.56,1.36
133.57,1.57
133.58,2.93
133.59,5.81
133.6,22.58
133.61,100.0
133.62,43.22
133.63,10.54
133.64,4.11
133.65,1.92
133.66,1.28
133.67,1.07
133.68,0.92
133.69,0.71
133.7,0.59
133.71,0.45
133.72,0.38
133.73,0.34
133.77,0.23
133.78,0.29
133.83,0.6
133.84,0.6
134.14,-0.21
134.16,-0.23
134.29,-0.41
134.42,-0.22
134.6,-0.22
135.08,-0.26
135.11,-0.21
135.27,-0.22
135.95,-0.28
135.96,-0.32
135.99,-0.23
136.01,-0.22
136.12,0.24
136.22,-0.29
136.23,-0.22
136.26,0.22
136.27,0.21
137.1,0.22
137.15,-0.21
137.29,-0.25
137.47,0.22
137.68,-0.21
137.83,-0.22
137.88,0.29
138.77,-0.27
138.82,0.23
138.9,0.3
139.01,0.21
139.12,0.32
139.47,-0.21
139.53,0.21
140.0,-0.25
140.14,-0.21
140.27,-0.21
140.42,0.22
140.67,-0.22
140.84,-0.22
140.9,-0.22
141.29,-0.21
141.33,-0.27
141.62,-0.21
141.82,0.28
141.83,0.22
141.87,0.27
141.95,-0.21
141.97,0.24
142.16,0.27
142.46,-0.33
142.47,-0.21
142.78,0.21
143.2,-0.24
143.75,-0.21
144.03,0.23
144.32,0.31
144.33,0.21
144.37,-0.23
144.38,-0.22
144.48,0.23
144.71,-0.28
144.72,-0.24
144.76,-0.25
144.77,-0.27
144.78,-0.24
145.16,-0.38
145.69,0.21
145.71,0.31
145.96,-0.28
146.48,-0.28
146.49,-0.31
146.62,0.32
146.64,0.22
147.06,-0.24
147.24,0.22
147.53,-0.31
147.54,-0.22
147.56,-0.22
147.6,0.23
148.17,-0.24
148.37,-0.23
148.59,-0.23
149.01,0.21
149.14,0.27
149.15,0.26
149.54,-0.23
149.55,-0.25
149.56,-0.28
149.64,-0.35
150.03,0.21
151.19,-0.22
151.2,-0.32
151.21,-0.21
151.26,-0.28
151.39,-0.32
151.59,-0.24
151.64,0.25
151.65,0.25
151.71,0.21
151.9,-0.24
152.38,0.21
152.42,0.4
152.43,0.37
152.44,0.46
152.45,0.57
152.46,0.9
152.47,2.94
152.48,18.1
152.49,8.5
152.5,1.6
152.51,0.87
152.52,0.7
153.09,-0.22
153.25,0.24
153.3,0.27
153.38,-0.23
154.01,-0.22
154.14,0.26
154.27,0.24
154.44,0.27
154.47,0.22
154.64,-0.26
154.7,0.23
155.52,0.21
156.13,0.28
156.25,0.42
156.44,-0.21
156.53,-0.24
156.56,0.29
157.85,-0.23
157.86,-0.28
158.31,0.21
158.56,-0.23
158.73,0.23
158.82,-0.24
159.33,-0.25
159.45,-0.21
159.62,0.29
160.23,0.23
160.3,0.23
160.31,0.24
160.48,-0.31
160.51,-0.23
161.45,-0.21
161.51,0.31
161.63,0.22
161.73,0.22
161.95,0.25
161.96,0.23
161.99,-0.24
162.19,-0.26
162.41,0.21
162.74,0.25
162.77,-0.22
162.8,-0.25
162.85,0.23
162.93,0.25
163.06,0.58
163.07,0.44
163.09,0.25
163.11,0.25
163.14,0.22
163.19,-0.21
163.26,-0.26
164.1,-0.28
164.15,0.22
164.16,0.28
164.36,-0.29
164.78,0.25
165.11,-0.22
165.45,0.24
165.58,-0.21
165.64,-0.22
166.59,-0.21
166.94,0.28
167.71,-0.26
167.95,-0.26
168.09,0.24
168.43,0.36
168.59,-0.22
168.92,0.21
168.94,0.24
168.96,0.22
169.08,0.25
169.13,-0.26
169.4,-0.27
169.76,0.24
169.87,0.23
170.81,-0.22
170.82,-0.31
171.41,-0.22
171.42,-0.24
171.53,0.22
171.59,-0.21
171.6,-0.21
171.94,-0.27
172.55,-0.21
172.56,-0.25
172.75,0.21
172.76,0.23
172.99,-0.26
173.04,0.3
173.21,-0.25
173.25,-0.28
173.27,0.23
174.05,-0.23
174.32,-0.24
174.42,-0.24
174.46,-0.27
175.04,-0.23
175.95,-0.21
176.1,-0.23
176.17,0.25
176.22,0.21
176.29,0.23
176.48,-0.21
176.63,0.21
177.07,-0.24
177.28,-0.22
177.33,-0.22
177.57,-0.27
177.59,-0.26
177.6,-0.29
177.61,-0.21
177.72,0.21
178.06,-0.23
178.19,-0.29
178.2,-0.28
178.25,-0.23
178.34,-0.23
178.45,0.57
178.46,0.61
178.47,2.39
178.48,15.21
178.49,7.86
178.5,1.86
178.51,0.7
178.52,0.31
178.55,0.3
178.75,0.23
178.77,-0.22
178.9,-0.24
178.91,-0.26
178.92,-0.24
179.07,0.31
179.26,0.22
179.37,-0.26
179.74,0.23
179.98,-0.21
180.16,-0.23
180.31,-0.26
180.4,0.32
180.41,0.29
180.48,0.24
180.49,0.24
180.6,-0.26
180.69,0.39
180.7,0.21
181.53,0.25
181.58,-0.34
181.59,-0.24
181.85,-0.23
181.92,-0.28
182.18,-0.22
182.19,-0.27
182.21,-0.21
182.22,-0.24
182.31,0.21
182.97,-0.29
183.7,-0.21
184.24,-0.24
184.28,-0.24
184.36,0.23
184.37,0.24
184.39,0.24
184.68,-0.44
184.69,-0.37
185.0,0.25
185.01,0.25
185.16,0.22
185.28,0.21
185.39,-0.23
185.45,-0.21
185.49,0.21
185.63,-0.24
186.3,-0.27
186.54,-0.24
186.59,0.23
186.73,-0.24
186.81,-0.3
186.9,-0.26
186.93,-0.22
187.01,-0.23
187.04,-0.22
187.55,-0.23
188.0,-0.27
188.13,0.21
188.15,0.21
188.25,-0.21
188.28,-0.22
188.34,-0.21
188.75,-0.31
188.76,-0.22
188.77,-0.24
188.85,-0.29
188.86,-0.38
188.96,0.24
189.03,0.21
189.1,-0.25
189.47,-0.23
189.5,0.25
190.08,-0.21
190.1,-0.24
190.76,0.21
191.01,-0.28
191.2,-0.25
191.22,-0.28
191.25,-0.31
191.28,-0.32
191.35,0.33
191.63,0.21
191.66,-0.23
191.69,-0.35
191.83,0.22
192.0,-0.27
192.03,-0.24
192.27,-0.24
192.28,-0.22
192.37,0.21
192.57,-0.26
192.73,0.21
193.18,0.22
193.39,-0.23
193.41,-0.44
193.42,-0.33
193.49,-0.24
193.54,0.23
193.55,0.26
193.64,0.23
194.58,-0.24
194.77,-0.28
194.96,-0.22
194.97,-0.22
194.98,-0.24
195.12,0.3
195.13,0.3
195.42,-0.32
195.43,-0.22
195.73,-0.27
195.86,-0.22
195.88,-0.32
196.09,-0.27
196.54,0.22
196.74,0.22
197.46,-0.21
197.5,-0.22
197.52,-0.22
197.94,-0.25
198.0,-0.27
198.13,-0.21
198.39,-0.25
198.46,0.28
198.47,0.35
198.48,0.26
198.52,0.23
199.02,0.24
199.22,-0.21
199.29,-0.25
199.44,-0.39
200.22,-0.27
200.48,-0.23
200.49,-0.3
200.5,-0.22
200.55,-0.28
200.6,0.26
201.04,-0.26
201.05,-0.21
201.09,-0.23
201.1,-0.21
201.13,0.21
201.33,-0.25
201.34,-0.24
201.41,0.22
201.59,0.21
201.93,-0.21
201.98,-0.27
201.99,-0.27
202.19,-0.24
202.38,-0.34
203.48,-0.23
203.63,-0.26
203.68,-0.24
203.78,-0.23
204.12,-0.21
204.25,0.21
204.36,0.21
204.45,-0.21
204.57,-0.21
204.9,0.21
204.99,-0.21
205.11,0.23
205.19,-0.3
205.28,0.26
205.59,-0.22
205.68,-0.27
205.69,-0.21
205.92,-0.27
205.97,0.23
206.71,-0.23
206.75,0.25
206.76,0.27
207.16,0.27
207.19,-0.25
207.25,0.21
207.32,0.21
207.33,0.25
207.53,-0.24
208.2,0.22
208.36,-0.21
208.37,-0.27
208.39,-0.24
208.4,-0.25
209.04,0.21
209.05,0.37
209.37,-0.28
209.38,-0.26
209.47,-0.25
209.6,-0.32
209.61,-0.21
209.76,0.21
209.8,0.23
209.95,-0.35
209.96,-0.21
210.1,-0.27
210.49,-0.28
210.72,-0.22
210.84,-0.21
210.89,-0.23
211.36,-0.21
211.47,-0.26
211.54,-0.41
211.55,-0.21
211.62,0.22
211.65,-0.21
211.98,-0.24
212.29,-0.24
212.3,-0.29
212.4,-0.23
212.85,-0.21
212.86,-0.31
213.04,-0.25
213.05,-0.28
213.16,-0.23
213.17,-0.21
213.52,-0.21
213.53,-0.21
213.56,-0.22
213.57,-0.21
214.31,-0.23
214.51,-0.24
214.91,-0.21
215.3,-0.22
216.23,0.28
217.39,0.25
217.41,0.21
217.8,0.22
218.7,0.22
219.18,-0.25
