Chemical Shift (ppm),Intensity
-15.53,-0.21
-14.49,-0.23
-14.24,-0.22
-13.7,-0.23
-13.65,-0.27
-13.47,-0.37
-13.46,-0.21
-13.27,-0.24
-13.08,-0.22
-12.95,-0.22
-12.8,-0.21
-12.74,-0.21
-12.72,-0.21
-12.3,-0.26
-11.95,-0.22
-11.94,-0.34
-11.93,-0.39
-11.92,-0.26
-11.67,-0.23
-11.62,-0.29
-11.44,-0.32
-11.37,-0.27
-11.36,-0.27
-11.16,-0.25
-11.15,-0.4
-11.07,-0.21
-10.94,-0.23
-10.64,-0.27
-10.56,-0.25
-10.5,-0.27
-10.49,-0.23
-10.48,-0.21
-10.37,-0.23
-10.35,-0.21
-9.87,-0.25
-9.72,-0.38
-9.61,-0.26
-9.31,-0.28
-9.2,-0.22
-9.19,-0.37
-9.15,-0.26
-9.14,-0.25
-9.01,-0.35
-8.92,-0.28
-8.87,-0.24
-8.86,-0.31
-8.78,0.26
-8.67,-0.25
-8.16,-0.23
-8.11,-0.31
-7.98,-0.21
-7.91,-0.22
-7.82,0.21
-7.75,-0.29
-7.66,-0.23
-7.49,-0.21
-7.45,0.3
-7.26,-0.21
-7.25,-0.33
-7.24,-0.21
-7.14,-0.22
-6.75,-0.28
-6.69,-0.24
-6.42,-0.27
-6.37,-0.21
-6.33,-0.25
-6.31,-0.23
-6.28,0.23
-6.22,-0.22
-6.06,-0.22
-6.0,-0.23
-5.99,-0.27
-5.97,-0.21
-5.85,-0.23
-5.75,-0.27
-5.68,0.23
-5.27,-0.31
-4.63,-0.28
-4.55,-0.26
-4.46,-0.24
-4.41,-0.21
-4.07,-0.26
-4.03,-0.29
-3.96,0.21
-3.83,-0.25
-3.47,-0.22
-3.42,-0.21
-3.3,0.21
-3.29,0.25
-3.26,-0.33
-3.25,-0.28
-3.12,-0.21
-3.11,-0.22
-3.1,-0.25
-2.76,-0.22
-2.67,-0.21
-2.59,-0.27
-2.58,-0.29
-2.51,-0.23
-2.45,-0.25
-2.24,-0.31
-1.76,0.22
-1.4,0.29
-1.31,-0.21
-1.07,-0.24
-1.06,-0.21
-0.98,-0.21
-0.97,-0.26
-0.96,-0.27
-0.83,0.23
-0.78,-0.21
-0.57,0.21
-0.25,0.21
-0.2,0.22
-0.05,0.29
-0.04,0.3
-0.03,0.46
-0.02,0.83
-0.01,2.87
0.0,7.98
0.01,1.28
0.2,0.29
0.21,0.26
0.45,-0.22
1.04,-0.26
1.05,-0.36
1.06,-0.32
1.07,-0.29
1.13,0.23
1.28,-0.27
1.29,-0.26
1.42,-0.22
1.71,-0.25
2.03,-0.25
2.19,-0.24
2.29,0.27
2.45,-0.22
2.53,-0.21
2.67,-0.22
2.68,-0.22
2.69,-0.23
2.76,-0.26
3.27,-0.24
3.31,-0.28
3.4,-0.27
3.43,-0.21
3.44,-0.37
3.49,-0.22
3.64,-0.28
3.65,-0.22
4.05,-0.23
4.06,-0.3
4.12,-0.3
4.23,-0.21
4.25,-0.26
4.27,-0.24
4.28,-0.22
4.4,0.21
4.45,-0.21
4.65,-0.26
4.72,-0.3
5.42,0.25
5.5,0.22
5.59,-0.21
5.6,-0.23
5.75,-0.28
6.26,0.24
6.31,-0.23
6.4,-0.25
6.44,0.22
6.53,-0.22
6.76,0.24
6.95,-0.34
7.19,-0.25
7.59,-0.3
7.68,0.22
7.69,0.27
7.84,-0.21
7.85,-0.24
8.07,-0.27
8.08,-0.23
8.28,-0.22
8.32,-0.21
8.55,-0.24
8.56,-0.23
8.57,-0.3
8.66,-0.22
8.73,-0.22
9.05,0.25
9.33,0.21
9.49,-0.21
9.69,-0.25
9.7,-0.28
10.15,0.24
10.3,0.29
10.5,-0.29
10.52,-0.24
10.78,-0.22
10.95,-0.21
11.19,-0.21
11.42,-0.26
11.67,-0.26
11.68,-0.21
11.75,-0.21
12.28,-0.26
12.37,0.21
12.4,0.36
12.5,-0.21
12.51,-0.22
12.91,0.21
13.41,-0.22
13.44,-0.25
