Chemical Shift (ppm),Intensity,Integral
-0.123,0.2,
-0.122,0.32,
-0.121,0.37,
-0.12,0.28,
-0.119,0.16,
-0.03,0.11,
-0.028,0.12,
-0.027,0.16,
-0.026,0.15,
-0.025,0.19,
-0.024,0.19,
-0.023,0.19,
-0.022,0.24,
-0.021,0.24,
-0.02,0.26,
-0.019,0.29,
-0.018,0.29,
-0.017,0.36,
-0.016,0.42,
-0.015,0.46,
-0.014,0.57,
-0.013,0.63,
-0.012,0.77,
-0.011,1.07,
-0.01,1.49,
-0.009,2.52,
-0.008,3.52,
-0.007,3.97,
-0.006,4.84,
-0.005,6.88,
-0.004,12.35,
-0.003,28.2,
-0.002,57.11,
-0.001,72.77,
0.0,57.07,
0.001,32.77,
0.002,13.7,
0.003,6.56,
0.004,3.59,
0.005,2.96,
0.006,2.49,
0.007,1.59,
0.008,0.89,
0.009,0.55,
0.01,0.29,
0.011,0.22,
0.012,0.14,
0.114,0.15,
0.115,0.3,
0.116,0.36,
0.117,0.27,
0.118,0.15,
1.876,0.16,
1.877,0.31,
1.878,0.43,
1.879,0.41,
1.88,0.41,
1.881,0.58,
1.882,0.82,
1.883,0.8,
1.884,0.7,
1.885,0.8,
1.886,1.16,
1.887,1.17,
1.888,0.9,
1.889,0.74,
1.89,0.84,
1.891,0.93,
1.892,0.79,
1.893,0.68,
1.894,0.93,
1.895,1.42,
1.896,1.52,
1.897,1.18,
1.898,0.94,
1.899,1.08,
1.9,1.29,
1.901,1.11,
1.902,0.87,
1.903,0.91,
1.904,1.17,
1.905,1.09,
1.906,0.71,
1.907,0.32,
1.908,0.18,
1.909,0.14,
1.91,0.15,
1.911,0.25,
1.912,0.53,
1.913,0.8,
1.914,0.7,
1.915,0.43,
1.916,0.19,
4.784,-0.13,
4.785,-0.11,
4.798,-0.12,
4.8,-0.11,
4.801,-0.13,
4.802,-0.12,
4.803,-0.14,
4.804,-0.13,
4.805,-0.11,
4.806,-0.14,
4.807,-0.13,
4.808,-0.15,
4.809,-0.17,
4.81,-0.14,
4.811,-0.18,
4.812,-0.16,
4.813,-0.16,
4.814,-0.21,
4.815,-0.17,
4.816,-0.21,
4.817,-0.21,
4.818,-0.19,
4.819,-0.24,
4.82,-0.27,
4.821,-0.23,
4.822,-0.31,
4.823,-0.3,
4.824,-0.34,
4.825,-0.43,
4.826,-0.37,
4.827,-0.48,
4.828,-0.52,
4.829,-0.5,
4.83,-0.73,
4.831,-0.67,
4.832,-0.75,
4.833,-0.9,
4.835,5.08,
4.836,18.11,
4.837,9.42,
4.838,3.95,
4.839,2.13,
4.84,1.54,
4.841,1.13,
4.842,0.79,
4.843,0.77,
4.844,0.64,
4.845,0.48,
4.846,0.5,
4.847,0.39,
4.848,0.4,
4.849,0.43,
4.85,0.35,
4.851,0.38,
4.852,0.32,
4.853,0.28,
4.854,0.3,
4.855,0.25,
4.856,0.27,
4.857,0.28,
4.858,0.24,
4.859,0.26,
4.86,0.22,
4.861,0.2,
4.862,0.22,
4.863,0.2,
4.864,0.18,
4.865,0.2,
4.866,0.16,
4.867,0.18,
4.868,0.19,
4.869,0.17,
4.87,0.18,
4.871,0.15,
4.872,0.14,
4.873,0.15,
4.874,0.11,
4.875,0.14,
4.876,0.12,
4.877,0.11,
4.878,0.13,
4.879,0.11,
4.88,0.11,
4.881,0.12,
6.643,0.2,
6.644,0.33,
6.645,0.38,
6.646,0.31,4.0
6.647,0.25,4.0
6.648,0.25,4.0
6.649,0.34,4.0
6.65,0.43,4.0
6.651,0.44,4.0
6.652,0.35,4.0
6.653,0.23,4.0
6.654,0.14,4.0
6.658,0.12,4.0
6.659,0.12,3.99
6.66,0.14,3.99
6.661,0.22,3.99
6.662,0.35,3.99
6.663,0.42,3.99
6.664,0.42,3.99
6.665,0.41,3.99
6.666,0.42,3.99
6.667,0.42,3.99
6.668,0.35,3.99
6.669,0.24,3.99
6.67,0.15,3.99
6.782,0.12,3.99
6.783,0.13,3.99
6.784,0.17,3.99
6.785,0.17,3.99
6.786,0.19,3.99
6.787,0.22,3.99
6.788,0.23,3.99
6.789,0.28,3.99
6.79,0.32,3.99
6.791,0.31,3.99
6.792,0.38,3.98
6.793,0.43,3.98
6.794,0.49,3.98
6.795,0.63,3.98
6.796,0.71,3.98
6.797,0.91,3.98
6.798,1.22,3.98
6.799,1.75,3.97
6.8,2.86,3.97
6.801,4.98,3.96
6.802,8.71,3.95
6.803,12.16,3.92
6.804,13.11,3.9
6.805,15.79,3.87
6.806,26.94,3.83
6.807,58.74,3.73
6.808,93.79,3.56
6.809,93.53,3.4
6.81,69.54,3.28
6.811,47.48,3.2
6.812,37.43,3.14
6.813,28.72,3.09
6.814,18.39,3.06
6.815,10.49,3.04
6.816,7.17,3.02
6.817,6.11,3.01
6.818,6.99,3.0
6.819,9.97,2.98
6.82,18.73,2.95
6.821,30.69,2.9
6.822,36.21,2.84
6.823,42.64,2.76
6.824,67.05,2.65
6.825,99.42,2.48
6.826,100.0,2.3
6.827,69.56,2.18
6.828,37.98,2.12
6.829,19.69,2.08
6.83,15.55,2.06
6.831,13.79,2.03
6.832,9.97,2.02
6.833,6.32,2.01
6.834,3.58,2.0
6.835,2.01,2.0
6.836,1.43,1.99
6.837,1.0,1.99
6.838,0.75,1.99
6.839,0.6,1.99
6.84,0.41,1.99
6.841,0.36,1.99
6.842,0.28,1.99
6.843,0.2,1.99
6.844,0.21,1.99
6.845,0.16,1.99
6.846,0.16,1.99
6.847,0.16,1.99
6.848,0.11,1.99
6.849,0.12,1.99
6.852,0.12,1.99
6.854,0.12,1.98
6.855,0.13,1.98
6.856,0.11,1.98
6.96,0.11,1.98
6.961,0.17,1.98
6.962,0.25,1.98
6.963,0.33,1.98
6.964,0.36,1.98
6.965,0.38,1.98
6.966,0.39,1.98
6.967,0.42,1.98
6.968,0.37,1.98
6.969,0.26,1.98
6.97,0.2,1.98
6.971,0.17,1.98
6.972,0.13,1.98
6.977,0.17,1.98
6.978,0.27,1.98
6.979,0.34,1.98
6.98,0.41,1.98
6.981,0.42,1.98
6.982,0.39,1.97
6.983,0.33,1.97
6.984,0.31,1.97
6.985,0.36,1.97
6.986,0.37,1.97
6.987,0.28,1.97
6.988,0.17,1.97
7.548,0.13,1.97
7.549,0.25,1.97
7.55,0.35,1.97
7.551,0.35,1.97
7.552,0.29,1.97
7.553,0.28,1.97
7.554,0.37,1.97
7.555,0.42,1.97
7.556,0.41,1.97
7.557,0.34,1.97
7.558,0.22,1.97
7.559,0.15,1.97
7.563,0.11,1.97
7.564,0.14,1.97
7.565,0.13,1.96
7.566,0.14,1.96
7.567,0.23,1.96
7.568,0.34,1.96
7.569,0.42,1.96
7.57,0.45,1.96
7.571,0.42,1.96
7.572,0.38,1.96
7.573,0.3,1.96
7.574,0.19,1.96
7.575,0.12,1.96
7.69,0.12,1.96
7.691,0.11,1.96
7.692,0.12,1.96
7.693,0.15,1.96
7.694,0.15,1.96
7.695,0.19,1.96
7.696,0.21,1.96
7.697,0.22,1.96
7.698,0.3,1.96
7.699,0.32,1.96
7.7,0.42,1.96
7.701,0.53,1.95
7.702,0.58,1.95
7.703,0.83,1.95
7.704,1.2,1.95
7.705,1.84,1.95
7.706,2.74,1.94
7.707,4.29,1.94
7.708,8.62,1.92
7.709,12.4,1.9
7.71,13.35,1.88
7.711,15.69,1.85
7.712,28.33,1.8
7.713,59.9,1.7
7.714,92.52,1.54
7.715,93.02,1.38
7.716,68.8,1.26
7.717,46.74,1.18
7.718,38.78,1.11
7.719,30.88,1.06
7.72,20.43,1.02
7.721,11.88,1.0
7.722,7.92,0.99
7.723,6.7,0.98
7.724,6.85,0.96
7.725,8.71,0.95
7.726,16.13,0.92
7.727,27.49,0.87
7.728,33.81,0.81
7.729,41.57,0.74
7.73,63.91,0.63
7.731,91.93,0.47
7.732,93.01,0.31
7.733,63.97,0.2
7.734,34.87,0.14
7.735,19.06,0.11
7.736,14.65,0.08
7.737,12.59,0.06
7.738,8.94,0.05
7.739,5.78,0.04
7.74,3.52,0.03
7.741,2.47,0.03
7.742,1.79,0.02
7.743,1.21,0.02
7.744,0.91,0.02
7.745,0.69,0.02
7.746,0.5,0.02
7.747,0.44,0.02
7.748,0.32,0.02
7.749,0.26,0.02
7.75,0.24,0.02
7.751,0.18,0.02
7.752,0.18,0.02
7.753,0.2,0.02
7.754,0.16,0.02
7.755,0.15,0.01
7.756,0.11,0.01
7.758,0.13,0.01
7.759,0.12,0.01
7.76,0.14,0.01
7.761,0.16,0.01
7.762,0.13,0.01
7.763,0.13,0.01
7.867,0.13,0.01
7.868,0.21,0.01
7.869,0.29,0.01
7.87,0.34,0.01
7.871,0.37,0.01
7.872,0.42,0.01
7.873,0.45,0.01
7.874,0.42,0.01
7.875,0.33,0.01
7.876,0.25,0.01
7.877,0.22,0.01
7.878,0.17,0.01
7.879,0.13,0.01
7.883,0.11,0.01
7.884,0.19,0.01
7.885,0.25,0.01
7.886,0.32,0.01
7.887,0.4,0.0
7.888,0.43,0.0
7.889,0.39,0.0
7.89,0.35,0.0
