Chemical Shift (ppm),Intensity,Integral
0.814,0.03,13.93
0.815,0.04,13.93
0.816,0.04,13.93
0.817,0.04,13.93
0.818,0.04,13.93
0.819,0.04,13.93
0.82,0.04,13.93
0.821,0.04,13.93
0.822,0.04,13.93
0.823,0.04,13.93
0.824,0.04,13.93
0.825,0.04,13.93
0.826,0.04,13.93
0.827,0.04,13.93
0.828,0.04,13.93
0.829,0.04,13.93
0.83,0.04,13.93
0.831,0.04,13.93
0.832,0.03,13.93
0.833,0.03,13.92
0.834,0.03,13.92
0.835,0.03,13.92
0.836,0.03,13.92
0.837,0.02,13.92
0.838,0.02,13.92
0.839,0.02,13.92
0.84,0.02,13.92
0.841,0.02,13.92
0.842,0.03,13.92
0.843,0.03,13.92
0.844,0.03,13.92
0.845,0.03,13.92
0.846,0.03,13.92
0.847,0.02,13.92
0.848,0.02,13.92
0.849,0.02,13.92
0.85,0.02,13.92
0.851,0.02,13.92
0.852,0.02,13.92
0.853,0.02,13.92
0.854,0.03,13.92
0.855,0.03,13.92
0.856,0.03,13.92
0.857,0.03,13.92
0.858,0.03,13.92
0.859,0.04,13.92
0.86,0.04,13.92
0.861,0.03,13.92
0.862,0.04,13.92
0.863,0.04,13.92
0.864,0.05,13.92
0.865,0.06,13.92
0.866,0.07,13.92
0.867,0.06,13.92
0.868,0.05,13.92
0.869,0.05,13.92
0.87,0.04,13.92
0.871,0.04,13.92
0.872,0.04,13.92
0.873,0.04,13.92
0.874,0.04,13.92
0.875,0.05,13.92
0.876,0.05,13.92
0.877,0.06,13.92
0.878,0.07,13.92
0.879,0.09,13.92
0.88,0.1,13.92
0.881,0.09,13.92
0.882,0.07,13.92
0.883,0.06,13.92
0.884,0.04,13.92
0.885,0.04,13.92
0.886,0.03,13.92
0.887,0.03,13.92
0.888,0.04,13.92
0.889,0.04,13.92
0.89,0.04,13.92
0.891,0.03,13.92
0.892,0.03,13.92
0.893,0.03,13.92
0.894,0.04,13.92
0.895,0.03,13.92
0.896,0.03,13.92
0.897,0.02,13.92
0.898,0.02,13.92
0.922,0.02,13.92
0.937,-0.02,13.92
0.938,-0.02,13.92
0.961,-0.02,13.92
0.962,-0.02,13.92
0.963,-0.02,13.92
0.964,-0.02,13.92
0.972,0.02,13.92
0.973,0.02,13.92
0.974,0.02,13.92
0.986,0.02,13.92
