Wavenumber (cm-1),Transmittance (%)
3827.763541,92.48824338
3817.658509,92.48743562
3807.553477,92.48662787
3797.448444,92.71966559
3787.343412,92.79680632
3777.238379,92.79599856
3767.133347,92.79519081
3757.028315,92.79438305
3746.923282,92.87152379
3736.81825,93.1045615
3726.713218,93.10375375
3716.608185,93.33679146
3706.503153,93.4139322
3696.39812,93.33517595
3686.293088,93.10052272
3676.188056,93.17766346
3666.083023,93.41070117
3655.977991,93.40989342
3645.872959,93.33113717
3635.767926,92.94058696
3625.662894,92.16029429
3615.557861,91.61384709
3605.452829,91.14534839
3597.874055,90.75500012
3595.347797,90.20915874
3590.295281,89.35132146
3587.769022,88.57163461
3587.769022,87.94804668
3587.769022,87.32445875
3587.769022,86.85676781
3582.716506,86.38867298
3582.716506,85.76508505
3582.716506,85.14149712
3582.716506,84.51790919
3582.716506,83.89432127
3582.716506,83.27073334
3582.716506,82.64714541
3582.716506,82.02355748
3582.716506,81.55586653
3577.66399,81.08777171
3577.66399,80.46418378
3577.66399,79.84059585
3577.66399,79.21700792
3577.66399,78.59341999
3577.66399,77.96983206
3577.66399,77.34624413
3577.66399,76.7226562
3572.611474,76.0986644
3572.611474,75.47507647
3572.611474,74.85148854
3570.085216,74.07180169
3567.558958,73.29211484
3562.506442,72.66812303
3559.980183,72.12228166
3557.453925,71.4205433
3554.927667,70.64085645
3552.401409,69.8611696
3552.401409,69.23758167
3552.401409,68.61399374
3549.875151,68.06815236
3547.348893,67.366414
3547.348893,66.74282607
3547.348893,66.11923814
3547.348893,65.49565022
3542.296377,64.87165841
3542.296377,64.24807048
3542.296377,63.62448255
3542.296377,63.00089462
3542.296377,62.37730669
3542.296377,61.75371876
3542.296377,61.28602782
3537.243861,60.81793299
3537.243861,60.19434506
3537.243861,59.57075713
3537.243861,58.9471692
3537.243861,58.32358128
3532.191344,57.69958947
3532.191344,57.07600154
3532.191344,56.45241361
3532.191344,55.82882568
3532.191344,55.20523775
3532.191344,54.58164982
3529.665086,54.03580845
3527.138828,53.33407009
3527.138828,52.71048216
3527.138828,52.08689423
3527.138828,51.4633063
3527.138828,50.83971837
3522.086312,50.21572657
3522.086312,49.59213864
3522.086312,48.96855071
3522.086312,48.34496278
3522.086312,47.72137485
3517.033796,47.09738304
3517.033796,46.47379511
3517.033796,45.85020718
3517.033796,45.22661926
3517.033796,44.60303133
3517.033796,44.13534038
3511.98128,43.66724555
3511.98128,43.04365763
3511.98128,42.4200697
3511.98128,41.79648177
3511.98128,41.17289384
3511.98128,40.54930591
3511.98128,39.92571798
3506.928764,39.30172617
3506.928764,38.67813825
3506.928764,38.05455032
3506.928764,37.43096239
3506.928764,36.80737446
3504.402505,36.02768761
3501.876247,35.24800076
3501.876247,34.62441283
3501.876247,34.0008249
3501.876247,33.37723697
3501.876247,32.90954602
3496.823731,32.4414512
3496.823731,31.81786327
3496.823731,31.19427534
3496.823731,30.57068741
3491.771215,29.94669561
3491.771215,29.32310768
3491.771215,28.69951975
3491.771215,28.07593182
3491.771215,27.60824087
3486.718699,27.14014605
3486.718699,26.51655812
3486.718699,25.89297019
3486.718699,25.42527924
3481.666183,24.95718442
3481.666183,24.33359649
3479.139924,23.55390964
3476.613666,22.77422279
3474.087408,22.22838141
3471.56115,21.52664305
3469.034892,20.98080168
3463.982376,20.12296439
3461.456118,19.49917453
3453.877344,18.87498078
3448.824827,18.17304048
3438.719795,17.70454178
3428.614763,17.70373402
3418.50973,18.48241118
3421.035988,17.93697368
3413.457214,19.10559523
3408.404698,20.35236721
3410.930956,19.65103273
3403.352182,21.59913919
3405.87844,20.89780471
3398.299666,23.4694991
3400.825924,22.76816462
3400.825924,22.14457669
3395.773407,25.26211245
3395.773407,24.63852452
3395.773407,24.0149366
3390.720891,27.75606029
3390.720891,27.13247236
3390.720891,26.50888443
3390.720891,25.8852965
3383.142117,30.63954864
3385.668375,29.93821416
3385.668375,29.31462623
3385.668375,28.69103831
3385.668375,28.22334736
3378.089601,33.8350329
3380.615859,33.05574993
3380.615859,32.432162
3380.615859,31.80857407
3380.615859,31.18498614
3373.037085,36.6407747
3375.563343,35.86149173
3375.563343,35.2379038
3375.563343,34.61431587
3367.984568,39.99215594
3370.510826,39.29082146
3370.510826,38.66723353
3370.510826,38.04364561
3370.510826,37.42005768
3365.45831,43.03194516
3365.45831,42.40835723
3365.45831,41.7847693
3365.45831,41.16118137
3365.45831,40.53759344
3360.405794,46.46127489
3360.405794,45.83768696
3360.405794,45.21409903
3360.405794,44.5905111
3360.405794,43.96692317
3360.405794,43.49923223
3352.82702,49.34476324
3355.353278,48.64342876
3355.353278,48.01984083
3355.353278,47.3962529
3355.353278,46.92856196
3350.300762,52.38455246
3350.300762,51.76096453
3350.300762,51.1373766
3350.300762,50.51378867
3350.300762,49.89020074
3345.248246,55.50208822
3345.248246,54.8785003
3345.248246,54.25491237
3345.248246,53.63132444
3345.248246,53.00773651
3337.669471,58.77531903
3340.195729,57.99603606
3340.195729,57.37244813
3340.195729,56.7488602
3340.195729,56.12527228
3335.143213,60.80177786
3335.143213,60.17818994
3335.143213,59.55460201
3330.090697,63.2957257
3330.090697,62.67213777
3330.090697,62.04854984
3330.090697,61.42496191
3322.511923,65.94536858
3325.038181,65.16608561
3325.038181,64.54249768
3325.038181,63.91890975
3319.985665,67.97182741
3319.985665,67.34823948
3319.985665,66.72465155
3312.40689,69.91993387
3314.933148,69.21859939
3314.933148,68.59501146
3307.354374,71.79029378
3309.880632,71.0889593
3309.880632,70.46537137
3302.301858,73.73860218
3304.828116,72.95931921
3304.828116,72.33573128
3299.7756,75.14147308
3299.7756,74.51788515
3292.196826,76.77778558
3294.723084,76.0764511
3294.723084,75.60876015
3287.144309,78.02455756
3289.670568,77.32322308
3282.091793,79.34927803
3284.618051,78.56999506
3277.039277,80.20630755
3271.986761,80.8294916
3266.934245,81.45267565
3256.829212,81.76366186
