Chemical Shift (ppm),Intensity,Integral
-0.122,0.02,18.0
-0.121,0.05,18.0
-0.12,0.06,18.0
-0.119,0.03,18.0
-0.015,0.02,18.0
-0.014,0.02,18.0
-0.013,0.03,18.0
-0.012,0.04,18.0
-0.011,0.06,18.0
-0.01,0.08,18.0
-0.009,0.14,18.0
-0.008,0.28,17.99
-0.007,0.41,17.99
-0.006,0.35,17.99
-0.005,0.31,17.98
-0.004,0.48,17.98
-0.003,1.07,17.97
-0.002,3.67,17.94
-0.001,8.34,17.87
0.0,12.28,17.77
0.001,6.3,17.71
0.002,1.89,17.7
0.003,0.72,17.69
0.004,0.3,17.69
0.005,0.25,17.69
0.006,0.29,17.68
0.007,0.26,17.68
0.008,0.07,17.68
0.009,0.02,17.68
0.115,0.03,17.68
0.116,0.05,17.68
0.117,0.05,17.68
0.118,0.03,17.68
0.782,0.02,17.68
0.783,0.02,17.68
0.784,0.03,17.68
0.785,0.03,17.68
0.786,0.03,17.68
0.787,0.04,17.68
0.788,0.04,17.68
0.789,0.05,17.68
0.79,0.06,17.68
0.791,0.06,17.68
0.792,0.07,17.68
0.793,0.08,17.68
0.794,0.09,17.67
0.795,0.1,17.67
0.796,0.1,17.67
0.797,0.1,17.67
0.798,0.09,17.67
0.799,0.09,17.67
0.8,0.09,17.67
0.801,0.09,17.67
0.802,0.11,17.67
0.803,0.13,17.67
0.804,0.15,17.67
0.805,0.16,17.66
0.806,0.17,17.66
0.807,0.17,17.66
0.808,0.17,17.66
0.809,0.18,17.66
0.81,0.17,17.66
0.811,0.17,17.66
0.812,0.16,17.65
0.813,0.15,17.65
0.814,0.15,17.65
0.815,0.15,17.65
0.816,0.16,17.65
0.817,0.17,17.65
0.818,0.17,17.65
0.819,0.17,17.65
0.82,0.17,17.64
0.821,0.18,17.64
0.822,0.18,17.64
0.823,0.18,17.64
0.824,0.17,17.64
0.825,0.17,17.64
0.826,0.16,17.63
0.827,0.16,17.63
0.828,0.16,17.63
0.829,0.15,17.63
0.83,0.14,17.63
0.831,0.13,17.63
0.832,0.13,17.63
0.833,0.13,17.63
0.834,0.14,17.63
0.835,0.15,17.62
0.836,0.14,17.62
0.837,0.13,17.62
0.838,0.12,17.62
0.839,0.11,17.62
0.84,0.11,17.62
0.841,0.11,17.62
0.842,0.11,17.62
0.843,0.1,17.62
0.844,0.09,17.62
0.845,0.08,17.61
0.846,0.07,17.61
0.847,0.08,17.61
0.848,0.08,17.61
0.849,0.08,17.61
0.85,0.08,17.61
0.851,0.07,17.61
0.852,0.06,17.61
0.853,0.06,17.61
0.854,0.05,17.61
0.855,0.05,17.61
0.856,0.05,17.61
0.857,0.05,17.61
0.858,0.04,17.61
0.859,0.04,17.61
0.86,0.05,17.61
0.861,0.05,17.61
0.862,0.06,17.61
0.863,0.06,17.61
0.864,0.06,17.61
0.865,0.06,17.6
0.866,0.06,17.6
0.867,0.06,17.6
0.868,0.05,17.6
0.869,0.04,17.6
0.87,0.03,17.6
0.871,0.03,17.6
0.872,0.04,17.6
0.873,0.05,17.6
0.874,0.07,17.6
0.875,0.08,17.6
0.876,0.1,17.6
0.877,0.1,17.6
0.878,0.1,17.6
0.879,0.09,17.6
0.88,0.09,17.6
0.881,0.09,17.6
0.882,0.07,17.6
0.883,0.06,17.59
0.884,0.07,17.59
0.885,0.12,17.59
0.886,0.21,17.59
0.887,0.26,17.59
0.888,0.18,17.59
0.889,0.11,17.59
0.89,0.09,17.59
0.891,0.08,17.59
0.892,0.08,17.58
0.893,0.07,17.58
0.894,0.06,17.58
0.895,0.06,17.58
0.896,0.06,17.58
0.897,0.05,17.58
0.898,0.06,17.58
0.899,0.09,17.58
0.9,0.22,17.58
0.901,0.4,17.58
0.902,0.5,17.57
0.903,0.28,17.57
0.904,0.11,17.57
0.905,0.06,17.57
0.906,0.04,17.57
0.907,0.03,17.57
0.908,0.03,17.57
0.909,0.03,17.57
0.91,0.03,17.57
0.911,0.03,17.57
0.912,0.03,17.57
0.913,0.03,17.57
0.914,0.05,17.56
0.915,0.14,17.56
0.916,0.23,17.56
0.917,0.25,17.56
0.918,0.13,17.56
0.919,0.06,17.56
0.92,0.04,17.56
0.921,0.03,17.56
0.922,0.02,17.56
0.923,0.02,17.56
0.924,0.02,17.56
0.925,0.02,17.56
0.926,0.02,17.56
0.927,0.02,17.56
0.928,0.02,17.56
0.929,0.02,17.56
0.93,0.02,17.56
0.931,0.02,17.56
0.932,0.02,17.56
0.933,0.02,17.56
0.934,0.02,17.56
0.935,0.02,17.56
0.936,0.02,17.55
0.937,0.02,17.55
0.938,0.02,17.55
0.939,0.02,17.55
0.94,0.02,17.55
