Wavenumber (cm-1),Transmittance (%)
472,76.038
477,72.844
482,65.602
487,70.204
492,81.65
497,80.81
502,72.966
507,70.734
512,74.32
517,81.746
522,82.448
527,75.886
532,85.452
537,89.618
542,90.992
547,89.864
552,85.276
557,78.382
562,76.904
567,83.758
572,89.41
577,91.946
582,92.982
587,93.412
592,93.64
597,93.654
602,93.354
607,93.058
612,92.504
617,91.636
622,90.8
627,89.992
632,89.504
637,88.782
642,87.012
647,83.79
652,85.362
657,89.538
662,89.406
667,87.31
672,83.448
677,85.09
682,88.18
687,85.242
692,79.668
697,77.43
702,81.09
707,84.93
712,87.728
717,88.476
722,90.896
727,93.668
732,94.176
737,94.464
742,95.488
747,95.906
752,96.02
757,96.094
762,95.972
767,95.694
772,95.114
777,94.074
782,91.976
787,86.992
792,71.794
797,73.316
802,86.404
807,90.07
812,92.638
817,93.548
822,93.45
827,92.07
832,88.876
837,85.94
842,81.32
847,76.37
852,75.022
857,75.1
862,75.064
867,73.486
872,66.33
877,52.858
882,33.048
887,13.4
892,5.68
897,29.782
902,66.166
907,74.068
912,81.136
917,84.086
922,86.6
927,89.236
932,90.84
937,91.488
942,91.148
947,89.192
952,82.198
957,84.366
962,90.068
967,90.506
972,88.836
977,86.23
982,82.996
987,80.216
992,79.334
997,80.53
1002,81.396
1007,81.796
1012,81.806
1017,77.834
1022,74.142
1027,75.15
1032,75.498
1037,68.92
1042,69.678
1047,67.176
1052,58.642
1057,65.976
1062,74.41
1067,83.156
1072,86.712
1077,85.038
1082,80.668
1087,74.364
1092,58.148
1097,40.246
1102,31.116
1107,30.41
1112,54.584
1117,72.786
1122,77.946
1127,79.678
1132,70.33
1137,65.078
1142,75.268
1147,82.774
1152,86.028
1157,88.758
1162,90.384
1167,91.39
1172,91.816
1177,91.418
1182,90.918
1187,90.21
1192,88.446
1197,81.438
1202,81.336
1207,83.474
1212,84.782
1217,84.536
1222,80.942
1227,70.564
1232,62.534
1237,46.246
1242,45.918
1247,58.596
1252,70.794
1257,72.216
1262,72.864
1267,82.93
1272,84.246
1277,81.744
1282,80.78
1287,80.878
1292,80.064
1297,80.59
1302,81.83
1307,81.18
1312,78.51
1317,72.158
1322,69.972
1327,76.778
1332,74.97
1337,69.35
1342,63.692
1347,55.286
1352,42.362
1357,29.082
1362,22.46
1367,27.64
1372,34.068
1377,37.71
1382,51.34
